Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW Řada 3,"318i, Kůže, vyhř. sedadla.",59 000 Kč,3/2001,244300km,9/2026,neuvedeno,87 kW / 118 PS,1 895 cm³,benzin,manuální převodovka,kupé,2 dveře,5 míst,černá metalíza,K Solné stezce Říčany u Prahy 25101
BMW Řada 5,520i 125kW !,59 900 Kč,11/2000,275001km,10/2026,neuvedeno,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,šedá metalíza,Malešická 47 Praha 3 Praha 3 Žižkov 13000
BMW Řada 3,"2,0 320d, Xenon, Digi Klima",56 900 Kč,1/2005,399400km,2/2026,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá,Kvítkovická 1527 Napajedla 76361
BMW Řada 5,525 D TOURING AT,4 200 Kč,2002,315047km,1/2019,neuvedeno,120 kW / 163 PS,2 497 cm³,nafta,aut. převodovka,neuvedeno,neuvedeno,neuvedeno,modrá metalíza,K Raškovci 1360/V Kolín 28002
BMW X5,"3.0d, 4X4, Automat, po STK",60 000 Kč,2004,241700km,10/2026,Dobrý,160 kW / 218 PS,3 000 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,zelená,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,118i / 105 kW / MANUÁL,59 900 Kč,11/2007,155500km,1/2025,neuvedeno,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,modrá metalíza,Libeňský ostrov Praha 8 18000
BMW Řada 3,316 TI COMPACT 85 KW,40 000 Kč,2002,215000km,neuvedeno,Velmi dobrý,neuvedeno,1 796 cm³,benzin,manuální převodovka,kupé,3 dveře,5 míst,černá metalíza,Líšný 2.díl 6 Líšný 46822
BMW Řada 3,"1.8 VETERÁN Vada motoru, koroz",29 900 Kč,12/1989,235000km,neuvedeno,Uspokojivý,83 kW / 113 PS,1 796 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,červená,Československé Armády 71/44 Jablonec nad Nisou 46605
BMW Řada 3,318D Touring,39 900 Kč,8/2007,559741km,1/2025,Uspokojivý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá,Weilova 1144/2 Praha 10 - Hostivař 10205
BMW Řada 3,320d poškozené BEZ MOTORU,24 999 Kč,2011,281401km,neuvedeno,neuvedeno,130 kW / 177 PS,1 995 cm³,nafta,manuální převodovka,sedan,4 dveře,5 míst,černá metalíza,V Zátiší 71 Průhonice - Rozkoš 25242
BMW Řada 3,"2,0 320i automat",35 000 Kč,3/1993,204520km,9/2019,Dobrý,110 kW / 150 PS,1 991 cm³,benzin,aut. převodovka,sedan,neuvedeno,neuvedeno,bílá,Vídeňská 343 Vestec u Prahy 25242
BMW Řada 1,"116i, nová STK, jezdí výborně",50 000 Kč,2007,198976km,10/2025,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"528i automat, EKO uhrazeno!",58 000 Kč,8/1998,350000km,8/2026,Dobrý,142 kW / 193 PS,2 793 cm³,benzin,aut. převodovka,sedan,4 dveře,5 míst,světle zelená,Dolní Vinice Kly u Mělníka 27741
BMW Řada 3,"E46 318i 140PS, Manual, Alu",44 000 Kč,2005,230470km,10/2025,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá,Kolínská 244 Uhlířské Janovice 28504
BMW Řada 5,"2,2 i V6 E39 520i TOURING,",49 900 Kč,7/2001,310246km,neuvedeno,Velmi dobrý,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Československé Armády 71/44 Jablonec nad Nisou 46605
BMW Řada 1,"116i, nová STK, plně pojízdný",60 000 Kč,2007,248289km,8/2025,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"320 i, po STK, jezdí výborně",45 000 Kč,2005,276485km,8/2026,Dobrý,110 kW / 150 PS,2 000 cm³,benzin,manuální převodovka,sedan,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"318 td, nová STK",50 000 Kč,2003,344491km,11/2025,Dobrý,85 kW / 116 PS,2 000 cm³,nafta,manuální převodovka,hatchback,3 dveře,5 míst,zelená,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"2,0 318i Touring",59 000 Kč,1/2005,303000km,1/2026,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Jáchymovská 350/81 Karlovy Vary 36004
BMW Řada 3,320i E90 110 kW NOVÁ STK,59 900 Kč,2/2006,172949km,8/2026,Způsobilý k provozu,110 kW / 150 PS,1 995 cm³,benzin,manuální převodovka,sedan,4 dveře,5 míst,stříbrná,Masarykova 412 DOMAŽLICE 34401
BMW Řada 3,"2,0 320D AUTOMAT,NAVIGACE",69 900 Kč,11/2004,245379km,9/2026,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Vizovická 442 Zlín 76001
BMW Řada 1,"2.0 D 120 D, xenon, kůže",60 000 Kč,2006,273530km,1/2027,neuvedeno,120 kW / 163 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 3,318I Touring,72 000 Kč,10/2006,260001km,4/2026,neuvedeno,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,černá,Malešická 47 Praha 3 Praha 3 Žižkov 13000
BMW Řada 3,"2,0 318d Touring",77 000 Kč,4/2008,211322km,8/2026,Dobrý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,světle šedá,PRAŽSKÁ 157 PARDUBICE 53006
BMW Řada 1,i 105kW AT motor na výměnu,75 000 Kč,4/2008,66501km,2/2026,Perfektní,105 kW / 143 PS,143 cm³,benzin,aut. převodovka,hatchback,3 dveře,4 místa,červená,Milady Horákové 1477 České Budějovice 37005
BMW Řada 3,"2,0 120kw+BEZ KOROZE !!!",69 999 Kč,9/2005,314325km,neuvedeno,Velmi dobrý,120 kW / 163 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,černá,Veveří 967/97 Brno 60200
BMW Řada 1,"1,6i KLIMA EL.OKNA PC ALU",77 000 Kč,2005,244645km,9/2026,Dobrý,85 kW / 116 PS,1 596 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,tmavě šedá metalíza,Pod Hájem 97 Králův Dvůr 26701
BMW Řada 1,"116i 90kW, Klima, Pěkný stav",74 990 Kč,2007,222637km,6/2025,Dobrý,90 kW / 122 PS,1 599 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,šedá,Kolínská 244 Uhlířské Janovice 28504
BMW Řada 1,"1.6 85KW,KLIMA,NOVÉ BRZDY+PNEU",69 990 Kč,9/2005,184213km,10/2026,Dobrý,85 kW / 116 PS,1 596 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,černá metalíza,Stará Lomnice 812 Lomnice Nad Popelkou 51251
BMW Řada 3,"2,0 320i",75 000 Kč,3/2005,191475km,12/2023,Dobrý,110 kW / 150 PS,1 995 cm³,benzin,manuální převodovka,sedan,4 dveře,5 míst,světle šedá,Milín 354 Milín 26231
BMW Řada 3,"318 d, po STK, jezdí výborně",70 000 Kč,2008,357090km,11/2026,Dobrý,90 kW / 122 PS,2 000 cm³,nafta,manuální převodovka,sedan,4 dveře,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,"116i, nová STK, jezdí výborně",70 000 Kč,2008,212957km,10/2025,Dobrý,90 kW / 122 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,4 místa,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,320d/xDrive/Bi-xenon/NAVI/,69 000 Kč,2009,414668km,8/2025,Velmi dobrý,130 kW / 177 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,šedá,Dřevčická 8- Autobazar VIP CAR s Praha 10 10800
BMW Řada 1,118d 2.0 AUT. KLIMA,69 900 Kč,11/2007,310400km,2/2026,Dobrý,105 kW / 143 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá metalíza,Děbolín 64 Jindřichův Hradec 37701
BMW Řada 1,"2,0 118i 95kw",64 900 Kč,6/2006,200031km,12/2026,Dobrý,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,šedá,Žižkova 660 Příbram II 26101
BMW Řada 3,"318 i, po STK, dobrý stav",70 000 Kč,2002,193761km,1/2027,Dobrý,105 kW / 143 PS,2 000 cm³,benzin,manuální převodovka,sedan,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,"118d, po STK, v dobrém stavu",70 000 Kč,2008,317345km,8/2026,Dobrý,105 kW / 143 PS,2 000 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,bílá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,"116i, po STK, CZ doklady",70 000 Kč,2005,195618km,4/2026,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,2.0d 118d,62 000 Kč,2006,287777km,9/2026,neuvedeno,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá metalíza,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,"116i, po STK, jezdí výborně",65 000 Kč,2005,231668km,5/2026,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X3,2.0D 110kW 4x4,89 000 Kč,2005,336142km,12/2025,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,manuální převodovka,SUV,5 dveří,5 míst,černá,Slavičky 39 Slavičky 67501
BMW Řada 1,"1,6 116 i",79 000 Kč,4/2005,207896km,12/2026,Dobrý,85 kW / 116 PS,1 596 cm³,benzin,neuvedeno,hatchback,neuvedeno,neuvedeno,červená,Areál Letiště Roudnice n. Labem 41301
BMW X5,"3,0 PO velkým servise.!!",79 000 Kč,7/2001,363680km,neuvedeno,Velmi dobrý,170 kW / 231 PS,2 979 cm³,benzin,neuvedeno,kombi,5 dveří,5 míst,stříbrná metalíza,Veveří 967/97 Brno 60200
BMW Řada 1,116 I,89 000 Kč,2007,149765km,6/2026,Dobrý,85 kW / 116 PS,1 596 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,šedá,Jesenická 3071/1d Šumperk 78701
BMW Řada 3,"318Ci 105KW,SERVIS. KNIHA.",89 000 Kč,10/2003,181577km,9/2024,Velmi dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kupé,2 dveře,5 míst,černá metalíza,Počernická 0 Praha 10 Malešice 10800
BMW Řada 5,"523 Panorama,LPG",84 900 Kč,2006,319259km,9/2026,Dobrý,130 kW / 177 PS,2 497 cm³,benzin,aut. převodovka,kombi,5 dveří,5 míst,šedá,Lidická 60/5 Hluboká nad Vltavou 37341
BMW Řada 3,"318 d, Xenony, Tempomat",85 000 Kč,2008,354738km,9/2026,Dobrý,105 kW / 143 PS,2 000 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,525d,77 777 Kč,2004,240200km,neuvedeno,Velmi dobrý,130 kW / 177 PS,2 497 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,šedá metalíza,Podhorni Ujezd 142 Podhorní Ujezd 50754
BMW Řada 3,325XDrive Led Xenon,89 000 Kč,3/2007,286928km,1/2027,Dobrý,160 kW / 218 PS,2 497 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Palackého 6 Ostrava - Přívoz 70200
BMW Řada 5,530D NAVI PROFESIONAL PANORAMA,79 000 Kč,2004,406404km,11/2025,Velmi dobrý,160 kW / 218 PS,2 993 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Pod Hájem 97 Králův Dvůr 26701
BMW X5,"3,0 i 170KW,AUT.AC,XENONY,4x4.",79 000 Kč,8/2000,260576km,2/2025,Velmi dobrý,170 kW / 231 PS,2 979 cm³,benzin,manuální převodovka,SUV,5 dveří,5 míst,stříbrná metalíza,Počernická 0 Praha 10 Malešice 10800
BMW Řada 3,318i 2.0i 95kW ALU TEMP,89 500 Kč,2006,256310km,1/2027,Perfektní,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,černá metalíza,Víta Nejedlého 1488 Mnichovo Hradiště 29501
BMW Řada 3,"318 i, CZ doklady",80 000 Kč,2008,192722km,6/2025,Dobrý,105 kW / 143 PS,2 000 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X5,3.0d AUTOMAT !,84 900 Kč,2/2003,276001km,6/2025,neuvedeno,135 kW / 184 PS,2 926 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá,Malešická 47 Praha 3 Praha 3 Žižkov 13000
BMW Řada 3,2.2 125Kw,77 777 Kč,2003,213300km,neuvedeno,neuvedeno,125 kW / 170 PS,2 171 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,černá metalíza,Podhorni Ujezd 142 Podhorní Ujezd 50754
BMW Řada 3,"320D 390L 2.0 130kW, Facelift",89 900 Kč,2009,235955km,6/2026,Dobrý,130 kW / 177 PS,1 996 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá metalíza,Kolínská 244 Uhlířské Janovice 28504
BMW X3,"3.0 D xD, AT, xenon, kůže",80 000 Kč,2006,307104km,10/2025,neuvedeno,160 kW / 218 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,černá metalíza,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,"118 D 105 KW,ŠÍBR,XENON,KLIMA.",79 800 Kč,10/2007,284000km,7/2025,Velmi dobrý,105 kW / 143 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,tmavě modrá metalíza,Kostelecká 1098/46 Praha-9 Čakovice 19600
BMW Řada 1,"116i, 1. majitel",89 900 Kč,2/2008,160100km,neuvedeno,Dobrý,85 kW / 116 PS,1 596 cm³,benzin,manuální převodovka,kombi,5 dveří,4 místa,modrá metalíza,Weilova 1144/2 Praha 10 - Hostivař 10205
BMW Řada 5,"520 D 100 KW MANUÁL,BEZ KOROZE",79 800 Kč,2002,269000km,5/2025,Velmi dobrý,100 kW / 136 PS,1 951 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,tmavě zelená metalíza,Kostelecká 1098/46 Praha-9 Čakovice 19600
BMW Řada 3,320i 2.2 125kW AUTOMAT,95 000 Kč,10/2001,145000km,2/2025,Dobrý,125 kW / 170 PS,2 171 cm³,benzin,aut. převodovka,sedan,5 dveří,5 míst,stříbrná metalíza,Pražská 379 Lubenec 43983
BMW Řada 1,"2,0 123d 150kw GPS",97 000 Kč,8/2008,301616km,7/2026,Velmi dobrý,150 kW / 204 PS,1 995 cm³,nafta,neuvedeno,hatchback,5 dveří,5 míst,modrá metalíza,Žďárská 311 Nové Veselí 59214
BMW Ostatní,315 E21,92 000 Kč,1983,189522km,neuvedeno,Perfektní,50 kW / 68 PS,1 573 cm³,benzin,neuvedeno,kupé,neuvedeno,neuvedeno,neuvedeno,Líšný 2.díl 6 Líšný 46822
BMW Řada 1,"116i, Serv.kniha",95 000 Kč,2007,154965km,6/2026,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,stříbrná metalíza,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"2.0 D, Navi, bixen",90 000 Kč,2010,276902km,1/2026,neuvedeno,85 kW / 116 PS,1 995 cm³,nafta,manuální převodovka,sedan,4 dveře,5 míst,černá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,"120d, Xenony, Tempomat",90 000 Kč,2008,222492km,8/2026,Dobrý,130 kW / 177 PS,2 000 cm³,nafta,manuální převodovka,hatchback,3 dveře,4 místa,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 5,"530d 6x AIRBAG, ZÁVĚS",99 000 Kč,9/2005,240003km,8/2024,Dobrý,170 kW / 231 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Kostelecká 4606 Prostějov 79601
BMW Řada 3,"2,5 i 325i,MPAKET,160KW",89 999 Kč,9/2006,329242km,10/2026,Perfektní,160 kW / 218 PS,2 497 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,modrá metalíza,Cihlářská 414 Uherský Brod - Havřice 68801
BMW Řada 1,"2,0D*105KW**SADA KOL**VYHŘ.SED",95 000 Kč,2007,224752km,12/2026,Dobrý,105 kW / 143 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,stříbrná,"GRE-CAR, s.r.o., DIČ:CZ07961430 provozovna: Vlkošská, Vracov 69642"
BMW Řada 3,"318i,105KW,ALU,XENON,KŮŽE,TOP",95 000 Kč,2003,213500km,4/2025,Perfektní,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kabriolet,2 dveře,4 místa,tmavě modrá metalíza,ŽATEC VELICHOV 291/1 Žatec 43801
BMW Řada 3,"2.0 D, aut.klima",90 000 Kč,2006,262022km,11/2026,neuvedeno,120 kW / 163 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,šedá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,116i 90kW,95 888 Kč,2008,124894km,9/2026,Velmi dobrý,90 kW / 122 PS,1 599 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,černá,Říčanská 1818/2321 Říčany u Prahy 25101
BMW Řada 3,"318i 95KW, PANORAMA.",95 000 Kč,12/2006,277835km,4/2026,Velmi dobrý,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,stříbrná metalíza,Počernická 0 Praha 10 Malešice 10800
BMW Řada 5,3.0 d 173KW AUT. KLIMA SERVIS,94 000 Kč,9/2007,361000km,10/2026,Velmi dobrý,173 kW / 235 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Olbramkostel 177 okr.Znojmo 67151
BMW X5,"3.0 D xDrive 160kW,ČR",90 000 Kč,2005,323000km,1/2027,Dobrý,160 kW / 218 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,4 místa,modrá,Kostelecká 1410 Praha 9 - Čakovice 19600
BMW X3,"2,0 NOVÉ ROZVODY,BRZDY,PNEU.!!",98 999 Kč,5/2008,220123km,neuvedeno,Velmi dobrý,130 kW / 177 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Veveří 967/97 Brno 60200
BMW Řada 1,118d Autoklima výhřev sedadel,98 000 Kč,2006,161458km,7/2026,Velmi dobrý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,šedá metalíza,Na Jarově 2425/4 Praha 3 - Žižkov 13000
BMW Řada 1,"118i, Serv.kniha, Tempomat",95 000 Kč,2008,185222km,1/2027,Dobrý,105 kW / 143 PS,2 000 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,118d,95 000 Kč,2008,155038km,3/2026,Dobrý,105 kW / 143 PS,2 000 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"320i 105KW KABRIO 2,0",99 000 Kč,4/2003,252000km,6/2026,Velmi dobrý,105 kW / 143 PS,1 995 cm³,benzin,neuvedeno,kabriolet,2 dveře,4 místa,šedá metalíza,Svinenská 636 Veselí nad Lužnicí 39181
BMW Řada 1,116i KLIMATIZACE,99 900 Kč,3/2009,193069km,5/2025,Dobrý,90 kW / 122 PS,1 599 cm³,benzin,manuální převodovka,hatchback,3 dveře,5 míst,bílá,Kostelecká 4606 Prostějov 79601
BMW Řada 3,330 XI Touring 170KW,99 999 Kč,2001,237000km,neuvedeno,Velmi dobrý,170 kW / 231 PS,2 979 cm³,benzin,aut. převodovka,kombi,5 dveří,5 míst,světle modrá metalíza,Podhorni Ujezd 142 Podhorní Ujezd 50754
BMW Řada 1,"116i, Serv.kniha",100 000 Kč,2009,134301km,1/2026,Dobrý,90 kW / 122 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,4 místa,modrá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"325 i, Xenony, Tempomat",100 000 Kč,2006,269070km,10/2026,Dobrý,160 kW / 218 PS,2 500 cm³,benzin,manuální převodovka,sedan,4 dveře,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"330D , 170 kW, kombi",99 900 Kč,7/2006,290397km,10/2025,Dobrý,170 kW / 231 PS,2 993 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,tmavě šedá metalíza,Vrchovská 1760 ( areál STK ) Čáslav 28601
BMW X3,(E83) XDrive 30 d 160 kW,99 900 Kč,12/2006,443000km,9/2025,Dobrý,160 kW / 218 PS,2 993 cm³,nafta,manuální převodovka,SUV,5 dveří,5 míst,stříbrná,Masarykova 412 DOMAŽLICE 34401
BMW Řada 5,"525i, Serv.kniha, Xenony",100 000 Kč,2004,189560km,4/2026,Dobrý,141 kW / 192 PS,2 500 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 1,"116i, Serv.kniha",100 000 Kč,2006,151310km,7/2026,Dobrý,85 kW / 116 PS,1 600 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,šedá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"2.0 i 320i, AT, park.senzor",105 000 Kč,2007,194814km,6/2025,neuvedeno,110 kW / 150 PS,1 995 cm³,benzin,aut. převodovka,kombi,5 dveří,5 míst,černá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 3,N/A,99 900 Kč,11/2007,217800km,7/2026,Dobrý,105 kW / 143 PS,1 995 cm³,benzin,manuální převodovka,kombi,4 dveře,5 míst,černá,Zašová 162 Zašová 75651
BMW Řada 3,"2.0D, AT, panor.",105 000 Kč,2008,259996km,8/2025,neuvedeno,130 kW / 177 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,šedá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 1,118D ZÁLOHOVÁNO,107 000 Kč,1/2012,314029km,9/2026,Dobrý,105 kW / 143 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá,Kostelecká 4606 Prostějov 79601
BMW Řada 3,"2.0D, AT, kůže",100 000 Kč,2007,231839km,4/2025,neuvedeno,120 kW / 163 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,K Učilišti 170 Praha 10-Štěrboholy 10200
BMW Řada 3,"320 i, Serv.kniha, Navi",100 000 Kč,2006,234154km,4/2025,Dobrý,110 kW / 150 PS,2 000 cm³,benzin,manuální převodovka,sedan,4 dveře,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW X3,3.0 D 150 kw !!MANUÁL!!,99 000 Kč,2005,378600km,4/2026,Velmi dobrý,150 kW / 204 PS,2 993 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,modrá metalíza,Kostelecká 37 Praha 9 Čakovice 19600
BMW Řada 3,"320 i, Automat, Xenony",100 000 Kč,2008,293564km,9/2025,Dobrý,125 kW / 170 PS,2 200 cm³,benzin,aut. převodovka,kombi,5 dveří,5 míst,černá,Dopraváků 874/15 Praha 8 - Čimice 18400
BMW Řada 3,"2,0 318d Touring,kůže,2 sady k",99 000 Kč,2006,276625km,3/2026,Dobrý,90 kW / 122 PS,1 995 cm³,nafta,manuální převodovka,kombi,5 dveří,5 míst,fialová,Jihlavská 1 Velké Meziříčí 59401
BMW Z3,"1,9 i 87 KW Roadster",99 990 Kč,7/2001,207751km,8/2026,Dobrý,87 kW / 118 PS,1 895 cm³,benzin,manuální převodovka,kabriolet,neuvedeno,neuvedeno,neuvedeno,Kostelecká 915 Praha 9 Čakovice 19600
BMW Řada 1,"1,6 116i",99 900 Kč,11/2005,212263km,neuvedeno,Velmi dobrý,85 kW / 116 PS,1 596 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,stříbrná metalíza,Československé Armády 71/44 Jablonec nad Nisou 46605
BMW X3,2.0D 110KW 4x4 – DIGI KLIMA,99 990 Kč,2005,274000km,8/2026,Velmi dobrý,110 kW / 150 PS,1 995 cm³,nafta,manuální převodovka,SUV,5 dveří,5 míst,černá metalíza,Stará pošta 750 Rajhrad 66461
BMW Řada 5,3.0D X-DRIVE 170kW,109 000 Kč,2006,428000km,8/2026,Perfektní,170 kW / 231 PS,2 993 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,černá,Slavičky 39 Slavičky 67501
BMW Řada 1,118d 105kW -VÝBAVA,109 900 Kč,2008,227402km,2/2027,Velmi dobrý,105 kW / 143 PS,1 995 cm³,nafta,manuální převodovka,hatchback,5 dveří,5 míst,černá,Lhotka 223 u OMV Česká Třebová 56002
BMW Řada 3,320i,108 000 Kč,3/2007,219298km,1/2027,Velmi dobrý,95 kW / 129 PS,1 995 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,tmavě šedá metalíza,Na Jarově 2425/4 Praha 3 - Žižkov 13000
BMW X3,N/A,111 111 Kč,2006,221000km,neuvedeno,neuvedeno,160 kW / 218 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,neuvedeno,černá metalíza,Podhorni Ujezd 142 Podhorní Ujezd 50754
BMW Řada 3,2.5 Xi Touring 4x4,111 111 Kč,2005,262400km,neuvedeno,Velmi dobrý,160 kW / 218 PS,2 494 cm³,benzin,manuální převodovka,kombi,5 dveří,5 míst,světle šedá metalíza,Podhorni Ujezd 142 Podhorní Ujezd 50754
BMW Řada 1,"1,6 116",109 000 Kč,12/2007,148972km,8/2025,neuvedeno,90 kW / 122 PS,1 599 cm³,benzin,manuální převodovka,hatchback,5 dveří,5 míst,černá,Areál Letiště Roudnice n. Labem 41301
BMW Ostatní,N/A,110 000 Kč,2010,309600km,neuvedeno,Dobrý,180 kW / 245 PS,neuvedeno,neuvedeno,neuvedeno,limuzína,neuvedeno,neuvedeno,černá metalíza,Šrobárova 2100/49 Praha 3 - Vinohrady 13000
BMW Řada 5,"2.0D 520d, AT, kůže, xenon",113 000 Kč,2007,265515km,8/2025,neuvedeno,120 kW / 163 PS,1 995 cm³,nafta,aut. převodovka,kombi,5 dveří,5 míst,modrá metalíza,K Učilišti 170 Praha 10-Štěrboholy 10200
