Model Auta,Verze modelu,Cena,Datum registrace,Najezd,Stk,Stav,Vykon,Objem motoru,Typ paliva,Typ prevodovky,Typ karoserie,Pocet dveri,Pocet mist,Barva exterieru,Adresa prodejce
BMW X4,xDrive20d,950 000 Kč,2019,58000km,neuvedeno,Velmi dobrý,140 kW / 190 PS,1 995 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,modrá metalíza,Průběžná 76 Praha 10 10000
BMW Řada 4,440i XDrive Gran Coupé M Sport,949 000 Kč,2020,88061km,neuvedeno,neuvedeno,240 kW / 326 PS,2 998 cm³,benzin,aut. převodovka,kupé,5 dveří,5 míst,tmavě šedá metalíza,Za Opravnou 1 Praha 5 15000
BMW X5,M Head-up Softclose,949 900 Kč,11/2016,151000km,neuvedeno,Perfektní,423 kW / 575 PS,4 395 cm³,benzin,aut. převodovka,SUV,5 dveří,5 míst,šedá metalíza,Poříčí 851 Boršov nad Vltavou 37382
BMW M6,"4,4 i Cabrio, Competition",950 000 Kč,5/2016,111740km,6/2026,Perfektní,441 kW / 600 PS,4 395 cm³,benzin,aut. převodovka,kabriolet,2 dveře,4 místa,bílá,Šumperská 1422 Uničov 78391
BMW Řada 5,540i xDrive Touring,948 000 Kč,2020,94000km,neuvedeno,Perfektní,250 kW / 340 PS,2 998 cm³,benzin,aut. převodovka,kombi,5 dveří,5 míst,šedá metalíza,Průběžná 76 Praha 10 10000
BMW Řada 2,218d Active Tourer,945 000 Kč,3/2024,5000km,neuvedeno,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,VAN,5 dveří,5 míst,modrá metalíza,Okruzni 49 Ceske Budejovice 37001
BMW X6,"M50d, Pano, Kamera, HUD, Tažné",949 000 Kč,6/2019,88600km,10/2026,Velmi dobrý,280 kW / 381 PS,2 993 cm³,nafta,aut. převodovka,SUV,5 dveří,5 míst,bílá metalíza,Hodkovická 135 Liberec 46312
BMW Řada 2,218i Active Tourer,948 000 Kč,9/2023,9037km,neuvedeno,Perfektní,100 kW / 136 PS,1 499 cm³,benzin,aut. převodovka,MPV,5 dveří,neuvedeno,bílá,Řípská 5c Brno - Slatina 62700
BMW Řada 7,730xd 195kW*Laser*DPH*Servis*,949 900 Kč,2/2018,125000km,3/2026,Perfektní,195 kW / 265 PS,2 993 cm³,nafta,aut. převodovka,sedan,neuvedeno,5 míst,černá,K Měcholupům Praha - Horní Měcholupy 10900
BMW Řada 2,218d Active Tourer,949 850 Kč,11/2023,14400km,neuvedeno,neuvedeno,110 kW / 150 PS,1 995 cm³,nafta,aut. převodovka,VAN,5 dveří,5 míst,černá metalíza,Březhradská 195 Hradec Králové - Březhrad 50332
